ngram,count,type
रोजी मूळ,93,bigram
मूळ पान,79,bigram
रोजी मूळ पान,79,trigram
पासून संग्रहित,79,bigram
पान पासून संग्रहित,77,trigram
पान पासून,77,bigram
मूळ पान पासून,77,trigram
आहे आणि,50,bigram
संदर्भ हवा,46,bigram
आहे की,46,bigram
असेल तर,43,bigram
केली होती,42,bigram
केला जातो,42,bigram
बाबासाहेब आंबेडकर,41,bigram
करण्यात आली,40,bigram
या काळात,40,bigram
करण्यात आला,39,bigram
केला होता,37,bigram
करण्यात आले,36,bigram
छत्रपती शिवाजी,36,bigram
नाही तर,34,bigram
प्रसिद्ध आहे,34,bigram
संत तुकाराम,33,bigram
केली जाते,33,bigram
शकत नाही,32,bigram
होते आणि,32,bigram
केले आहे,31,bigram
मोठ्या प्रमाणात,31,bigram
मानले जाते,31,bigram
असे म्हणतात,30,bigram
झाला होता,29,bigram
आहे असे,29,bigram
झाले होते,29,bigram
शिवाजी महाराज,29,bigram
प्रयत्न केला,28,bigram
सुरुवात केली,28,bigram
आहे का,27,bigram
या दिवशी,27,bigram
केली आहे,27,bigram
आणि त्यांच्या,26,bigram
महाराष्ट्र राज्य,24,bigram
ओळखले जाते,24,bigram
सुरू केले,24,bigram
केला व,23,bigram
म्हणून ओळखले,23,bigram
आवश्यक आहे,23,bigram
रोजी पाहिले,23,bigram
केले होते,23,bigram
हा शब्द,23,bigram
छत्रपती संभाजी,22,bigram
हे एक,22,bigram
साजरा केला,22,bigram
स्थापना केली,22,bigram
झाली होती,21,bigram
छत्रपती संभाजीनगर,21,bigram
झाला आहे,21,bigram
असे नाव,20,bigram
संत ज्ञानेश्वर,20,bigram
शिवाजी महाराजांनी,20,bigram
निर्णय घेतला,20,bigram
ही एक,20,bigram
आणि ते,20,bigram
सुरू झाली,20,bigram
नोव्हेंबर 2025,19,bigram
शहर आहे,19,bigram
सांगतात की,19,bigram
व इतर,19,bigram
केला आहे,19,bigram
आणि इतर,19,bigram
झाले आहेत,19,bigram
मानला जातो,18,bigram
होऊ शकतो,18,bigram
काही ठिकाणी,18,bigram
मराठी भाषा,18,bigram
आहे हे,18,bigram
आली होती,18,bigram
आला आहे,18,bigram
आले होते,18,bigram
व्या शतकात,18,bigram
ऑफ इंडिया,18,bigram
म्हणले जाते,18,bigram
होत आहे,18,bigram
आली आहे,17,bigram
हा एक,17,bigram
साजरा केला जातो,17,trigram
लता मंगेशकर,17,bigram
हा खेळ,17,bigram
आले आहे,17,bigram
ते म्हणतात,17,bigram
खेळला जातो,17,bigram
म्हणतात की,17,bigram
प्रसिद्ध आहेत,17,bigram
झाली आहे,17,bigram
वापर करून,17,bigram
इंग्रजी भाषेत,17,bigram
आणि नंतर,17,bigram
केली आणि,17,bigram
केले गेले,17,bigram
हे नाव,17,bigram
१९४७ रोजी,17,bigram
संभाजी महाराज,17,bigram
होत नाही,16,bigram
आहे तर,16,bigram
निधन झाले,16,bigram
या नावाने,16,bigram
छत्रपती शिवाजी महाराज,16,trigram
झाले आणि,16,bigram
होता आणि,16,bigram
काम केले,16,bigram
उद्धव ठाकरे,16,bigram
राज ठाकरे,16,bigram
समावेश आहे,16,bigram
अजित पवार,16,bigram
समावेश होतो,16,bigram
केले जाते,16,bigram
अशा अनेक,16,bigram
हा दिवस,16,bigram
आणि त्यांची,16,bigram
ऑक्टोबर 2025,16,bigram
करण्याचा प्रयत्न,15,bigram
आहे व,15,bigram
झाला आणि,15,bigram
या शहराला,15,bigram
असे मानले,15,bigram
हे शहर,15,bigram
महात्मा गांधी,15,bigram
नाही पण,15,bigram
केलं होतं,15,bigram
केला गेला,15,bigram
एक आहे,15,bigram
जाऊ शकतो,15,bigram
नकार दिला,15,bigram
तरण तलाव,15,bigram
येत नाही,15,bigram
मराठी चित्रपट,15,bigram
नव्हे तर,15,bigram
पुढे वाचा,15,bigram
जवाहरलाल नेहरू,15,bigram
यांनी या,14,bigram
इंदिरा गांधी,14,bigram
इंग्रजी आवृत्ती,14,bigram
दिसून येते,14,bigram
असे म्हणले,14,bigram
संत नामदेव,14,bigram
रोजी मूळ पानापासून,14,trigram
सुरू आहे,14,bigram
