token,pos
उपमुख्यमंत्री,NOUN
अजित,NOUN
पवार,NOUN
यांचे,NOUN
चिरंजीव,NOUN
पार्थ,NOUN
यांच्या,PP
कंपनीमार्फत,NOUN
झालेल्या,NOUN
जमीन,NOUN
व्यवहार,NOUN
प्रकरणात,NOUN
अनियमितता,NOUN
आढळल्याचं,NOUN
प्रकरण,NOUN
सध्या,NOUN
फारच,NOUN
चर्चेत,NOUN
आहे,NOUN
एकीकडे,PP
या,PART
प्रकरणी,NOUN
पिंपरी,NOUN
चिंचवडमधील,NOUN
बावधन,NOUN
पोलीस,NOUN
ठाण्यात,NOUN
गुन्हा,NOUN
नोंद,NOUN
करण्यात,NOUN
आला,PP
तर,PART
दुसरीकडे,PP
हा,PART
रद्द,NOUN
आल्याची,NOUN
माहिती,NOUN
यांनी,NOUN
दिली,VERB
प्रकरणावर,PP
राष्ट्रवादी,NOUN
काँग्रेस,NOUN
शरद,NOUN
गटाचे,NOUN
प्रमुख,NOUN
प्रतिक्रिया,NOUN
पवारांना,NOUN
जाणीवपूर्वक,NOUN
घेरण्याचा,NOUN
प्रयत्न,NOUN
केला,PP
जातोय,NOUN
का,PART
प्रश्नावर,PP
उत्तर,NOUN
देताना,NOUN
काय,NOUN
म्हणाले,VERB
जाणून,NOUN
घ्या,NOUN
बीबीसीसाठी,PP
कलेक्टिव्ह,NOUN
न्यूजरूमचे,NOUN
प्रकाशन,NOUN
गुन्ह्यात,NOUN
पवारांचे,NOUN
नाव,NOUN
नाही,NOUN
यासह,NOUN
अनुत्तरीत,NOUN
असलेले,VERB
5,NUM
प्रश्न8,NOUN
नोव्हेंबर,NOUN
2025,NUM
प्रश्न,NOUN
करार,NOUN
करणार,NOUN
पवारांची,NOUN
आतापर्यंत,NOUN
घडलं,NOUN
10,NUM
IPS,NOUN
वाद,NOUN
इतर,NOUN
खात्याच्या,PP
सरकारी,NOUN
कामात,NOUN
अडथळा,NOUN
आणणं,NOUN
चूकच,NOUN
प्रशासकीय,NOUN
नियम,NOUN
सांगतात,VERB
6,NUM
सप्टेंबर,NOUN
1,NUM
29व्हीडिओ,NOUN
पुण्यातील,NOUN
नवले,VERB
पुलावर,PP
भीषण,NOUN
अपघात,NOUN
वाहनांना,NOUN
आग,PART
मृतांचा,NOUN
आकडा,NOUN
7,NUM
वर,PART
वेळ,NOUN
2913,NUM
व्हीडिओ,NOUN
29,NUM
8,NUM
17व्हीडिओ,NOUN
पुणे,NOUN
पोलिसांवर,PP
मुलींना,NOUN
जातिवाचक,NOUN
शिवीगाळाचे,NOUN
आरोप,NOUN
कोर्टाने,PP
आदेश,NOUN
दिले,VERB
1713,NUM
17,NUM
08व्हीडिओ,NOUN
भारतापेक्षा,NOUN
बऱ्याच,NOUN
लहान,NOUN
अर्थव्यवस्था,NOUN
असणाऱ्या,NOUN
रवांडा,NOUN
घानासारख्या,NOUN
देशांचं,NOUN
पासपोर्ट,NOUN
रँकिंग,NOUN
चांगलं,NOUN
0813,NUM
08,NUM
01व्हीडिओ,NOUN
सोपी,NOUN
गोष्ट,NOUN
भारतात,VERB
येणाऱ्या,NOUN
डेटा,NOUN
सेंटर्समुळे,NOUN
पाणीटंचाई,NOUN
वाढणार,NOUN
0112,NUM
01,NUM
तुम्ही,NOUN
बीबीसीवर,PP
विश्वास,NOUN
ठेवू,NOUN
शकता,NOUN
कारण,NOUN
न्यूजरूमचं,NOUN
BBC,NOUN
बीबीसी,NOUN
बाह्य,NOUN
इंटरनेट,NOUN
साइट्सच्या,PP
सामग्रीसाठी,PP
जबाबदार,NOUN
लिंक्सबद्दल,NOUN
आम्हाल,NOUN
वाटतं,NOUN
इथे,NOUN
वाचा,NOUN
अकोल्यात,NOUN
एकेकाळी,NOUN
शिकार,NOUN
करणारे,NOUN
फासेपारधी,NOUN
समाजातील,NOUN
लोक,NOUN
आता,NOUN
दुर्मिळ,NOUN
तणमोर,NOUN
पक्ष्याचं,NOUN
संवर्धन,NOUN
करत,NOUN
आहेत,NOUN
पक्षी,NOUN
नामशेष,NOUN
होण्याच्या,PP
मार्गावर,PP
असताना,NOUN
कौस्तुभ,NOUN
पांढरीपांडे,NOUN
