word,polarity
गर्व,positive
उदार,positive
कृतार्थ,positive
उन्नती,positive
रम्य,positive
फायदा,positive
लाभ,positive
सन्मानित,positive
सुखद,positive
आशावादी,positive
चांगले,positive
समाधानी,positive
मानाचा,positive
मायाळू,positive
भव्यदिव्य,positive
उत्साहपूर्ण,positive
सुंदरपणे,positive
शुभेच्छा,positive
विश्वासू,positive
चांगली,positive
लाभदायक,positive
विकास,positive
मनोहर,positive
यशाचा,positive
प्रसन्न,positive
आनंदोत्सव,positive
गौरव,positive
उत्साहाने,positive
भव्य,positive
सुखकर,positive
सुरक्षित,positive
आशावाद,positive
आनंदी,positive
यशाचे,positive
हसतमुख,positive
यशस्वी,positive
उपयुक्त,positive
सुदृढ,positive
सुखी,positive
सुवर्ण,positive
प्रगतिशील,positive
उत्साह,positive
अभिनंदन,positive
प्रसन्नचित्त,positive
सुख,positive
गौरवशाली,positive
आनंद,positive
विकासशील,positive
सकारात्मक,positive
विश्वासार्ह,positive
आनंदमय,positive
उल्लेखनीय,positive
कृतार्थता,positive
अभिमान,positive
सुंदर,positive
सफलता,positive
शोभिवंत,positive
आनंददायक,positive
आदर,positive
प्रशंसनीय,positive
आदरयुक्त,positive
यश,positive
उभारणी,positive
प्रगत,positive
आकर्षक,positive
अतिशय चांगला,positive
फायद्याचा,positive
अभिमानास्पद,positive
सकारात्मकता,positive
सन्मान,positive
आनंदित,positive
खुश,positive
भक्कमपणे,positive
उत्तम,positive
प्रेरणादायी,positive
उभारलेला,positive
चांगला,positive
आशादायक,positive
हर्षोल्हास,positive
शुभ,positive
कौतुकास्पद,positive
हर्षित,positive
सफल,positive
हर्ष,positive
खुशी,positive
सुव्यवस्थित,positive
फायदेशीर,positive
हसरा,positive
सुयोग्य,positive
उत्कृष्टपणे,positive
समाधान,positive
यशस्वीपणे,positive
भक्कम,positive
उत्साही,positive
स्नेहपूर्ण,positive
सुसंस्कृत,positive
सुयश,positive
गौरवपूर्ण,positive
सुस्थितीत,positive
उत्कृष्ट,positive
प्रगती,positive
दुर्दैवी,negative
आतंक,negative
गुन्हा,negative
अराजक,negative
समस्या,negative
रागावली,negative
असंतुष्ट,negative
वाईट,negative
अडथळा,negative
भीषण,negative
द्वेष,negative
चिडलेला,negative
दुःख,negative
भेदभाव,negative
घट,negative
हताश,negative
पडझड,negative
निकामी,negative
निराश,negative
उध्वस्त,negative
दहशत,negative
आतंकवाद,negative
दुःखद,negative
दु:ख,negative
अपयशीपणे,negative
नाराजी,negative
अस्वस्थ,negative
धोकादायक,negative
नालायक,negative
नाखूष,negative
अयश,negative
रागावला,negative
अस्थिरता,negative
तक्रारी,negative
असंतोष,negative
तोटा,negative
राग,negative
भ्रष्ट,negative
गंभीर समस्या,negative
खिन्न,negative
निरुपयोगी,negative
अराजकता,negative
अव्यवस्था,negative
कमतरता,negative
गोंधळ,negative
भयंकर,negative
नुकसानी,negative
अन्याय,negative
हिंसक,negative
निकृष्ट दर्जाचा,negative
हताशपणा,negative
त्रस्त,negative
अपघात,negative
घृणा,negative
हानी,negative
तिरस्कार,negative
संताप,negative
अयोग्य,negative
धक्का,negative
चिडचिड,negative
शोकांतिका,negative
तोट्याचा,negative
कुचकामी,negative
भेदभावपूर्ण,negative
नापसंती,negative
लाचखोरी,negative
घरफोडी,negative
अस्थिर,negative
तक्रार,negative
घोटाळे,negative
प्रश्नचिन्ह,negative
हिंसा,negative
तुच्छ,negative
लूट,negative
अन्यायकारक,negative
नुकसान,negative
खून,negative
वाइट वाटणे,negative
हत्या,negative
किळस,negative
